Name (English),Name (Dhivehi),Specialty (English),Specialty (Dhivehi)
ޑރ. Bhumika Pradhan,ޑރ. ބޫމިކާ ޕްރަދާން,Nephrology,ގުރުދާގެ ބަލިތައް
ޑރ. Ismail Ejaz Ali,ޑރ. އިސްމާޢީލް އީޖާޒް ޢަލީ,Pediatrics,ކުޑަކުދިންގެ ބަލިތައް
ޑރ. Najahath Ahmed,ޑރ. ނަޖާޙަތު އަޙްމަދު,Medical Officers,މެޑިކަލް އޮފިސަރުން
ޑރ. Ali Aafee,ޑރ. ޢަލީ އާފީ,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Ram Prasad Pokhrel,ޑރ. ރާމް ޕްރަސާދު ޕޮކްރޭލް,Pediatrics,ކުޑަކުދިންގެ ބަލިތައް
ޑރ. Mohamed Waheed,ޑރ. މުޙައްމަދު ވަޙީދު,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Farzana Shaugee,ޑރ. ފަރުޒާނާ ޝައުގީ,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Aminath Eenas,ޑރ. އާމިނަތު އީނާސް,Medical Officers,މެޑިކަލް އޮފިސަރުން
ޑރ. Hana Nooh,ޑރ. ހަނާ ނޫޙް,ENT,ކަންފަތް، ނޭފަތް، ކަރުގެ ބަލިތައް
ޑރ. Roshani Wagle,ޑރ. ރޯޝަނީ ވާގްލޭ,Dermatology,ހަމުގެ ބަލިތައް
ޑރ. Mohamed Muthuim,ޑރ. މުޙައްމަދު މުތުޢިމް,Medicine,ބަލިތަކަށް ފަރުވާދޭ
ޑރ. Ismail Latheef,ޑރ. އިސްމާޢީލް ލަޠީފް,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Abdullah Afnan Ahmed,ޑރ. ޢަބްދުﷲ އަފްނާން އަޙްމަދު,Medical Officers,މެޑިކަލް އޮފިސަރުން
ޑރ. Sariu Ali Didi,ޑރ. ސާރިއު ޢަލީ ދީދީ,Rheumatology,ރޫމަޓޮލޮޖީ
ޑރ. Hussain Shakeel,ޑރ. ޙުސައިން ޝަކީލް,Orthopedics,ކަށީގެ ބަލިތައް
ޑރ. Yujan Sapkota,ޑރ. ޔޫޖަން ސަޕްކޯޓާ,Anesthesia,އެނެސްތީސިއޮލޮޖީ
ޑރ. Mariyam Shahana,ޑރ. މަރްޔަމް ޝަހާނާ,Ophthalmology,ލޮލުގެ ބަލިތައް
ޑރ. Piyush Niroula,ޑރ. ޕިޔޫޝް ނިރައުލާ,Neurology,ނިއުރޮލޮޖީ
ޑރ. Maeesha Solih,ޑރ. މައީޝާ ޞާލިޙް,Radiology,ރޭޑިއޮލޮޖީ
ޑރ. Swikriti Koirala,ޑރ. ސްވިކްރިތީ ކޮއިރާލާ,Community Medicine,ކޮމިއުނިޓީ މެޑިސިން
ޑރ. Aishath Azna Ali,ޑރ. ޢާއިޝަތު އަޒްނާ ޢަލީ,Surgery,ސާޖަރީ
ޑރ. Ahmed Shaheed,ޑރ. އަޙްމަދު ޝަހީދު,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Dipak Muktan,ޑރ. ދީޕަކް މުކްތަން,Paediatrics,ކުޑަކުދިންގެ ބަލިތައް
ޑރ. Sanju Sharma,ޑރ. ސަންޖޫ ޝަރުމާ,Pathology,ޕެތޮލޮޖީ
ޑރ. Zahiya Abdul Baree,ޑރ. ޒާހިޔާ ޢަބްދުލް ބާރީ,Obstetrics & Gynecology,އަންހެނުންގެ ބަލިތައް
ޑރ. Kiran Aryal,ޑރ. ކިރަން އަރްޔާލް,Microbiology,މައިކްރޯބަޔޮލޮޖީ
ޑރ. Mohamed Mishwaar,ޑރ. މުޙައްމަދު މިޝްވާރު,Orthopedics,ކަށީގެ ބަލިތައް
ޑރ. Anisha Basnet,ޑރ. އަނީޝާ ބަސްނެތް,Anesthesia,އެނެސްތީސިއޮލޮޖީ
ޑރ. Moataz Ayman Saleh,ޑރ. މުޢުތަޒް އައިމަން,Vascular Surgery,ލޭހޮޅީގެ ސާޖަރީ
ޑރ. Mohamed Munshid,ޑރ. މުޙައްމަދު މުންޝިދު,Orthopaedics,ކަށީގެ ބަލިތައް
ޑރ. Mahfooza Moosa,ޑރ. މަޙްފޫޛާ މޫސާ,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Fathimath Saazleen,ޑރ. ފާތިމަތު ސާޒްލީން,Medical Officers,މެޑިކަލް އޮފިސަރުން
ޑރ. Anup Shrestha,ޑރ. އަނޫޕް ޝްރެސްތާ,Surgery,ސާޖަރީ
ޑރ. Mohamed Shafraz,ޑރ. މުޙައްމަދު ޝަފްރާޒް,Medical Officers,މެޑިކަލް އޮފިސަރުން
ޑރ. Moosa Murad,ޑރ. މޫސާ މުރާދު,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Shahula Afeef,ޑރ. ޝަހުލާ ޢަފީފް,Radiology,ރޭޑިއޮލޮޖީ
ޑރ. Kiran Niraula,ޑރ. ކިރަން ނިރައުލާ,Neurosurgery,ނިއުރޯސާޖަރީ
ޑރ. Nashwa Ahmed,ޑރ. ނަޝްވާ އަޙްމަދު,Dermatology,ހަމުގެ ބަލިތައް
ޑރ. Shimal Thasneem,ޑރ. ޝިމާލް ތަސްނީމް,Pathology,ޕެތޮލޮޖީ
ޑރ. Ibrahim Shiham,ޑރ. އިބްރާހީމް ޝިހާމް,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Suraj Dhaubhadel,ޑރ. ސޫރަޖް ދައުބަދޭލް,Pediatrics,ކުޑަކުދިންގެ ބަލިތައް
ޑރ. Fathimath Niuma Ahmed,ޑރ. ފާތިމަތު ނިއުމާ އަޙްމަދު,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Nasheeda Saeed,ޑރ. ނަޝީދާ ސަޢީދު,Neurology,ނިއުރޮލޮޖީ
ޑރ. Arif Mohamed,ޑރ. އާރިފް މުޙައްމަދު,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Anjali Poudel,ޑރ. އަންޖަލީ ޕައުޑެލް,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Shooga Moosa,ޑރ. ޝޫގާ މޫސާ,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Zulaikha Mohamed,ޑރ. ޒުލައިޚާ މުޙައްމަދު,Obstetrics and Gynecology,އަންހެނުންގެ ބަލިތައް
ޑރ. Sandip Giri,ޑރ. ސަންދީޕް ގިރީ,Radiology,ރޭޑިއޮލޮޖީ
ޑރ. Mohamed Mazin Ilyas,ޑރ. މުޙައްމަދު މާޒިން އިލްޔާސް,Dentistry,ދަތުގެ ބަލިތައް
ޑރ. Aishath Jeneena Amir,ޑރ. ޢާއިޝަތު ޖަނީނާ އަމީރު,Ophthalmology,ލޮލުގެ ބަލިތައް
ޑރ. Mariyam Thooba Mohamed,ޑރ. މަރްޔަމް ތޫބާ މުޙައްމަދު,Medical Officers,މެޑިކަލް އޮފިސަރުން
ޑރ. Wishama Abdul Razzag,ޑރ. ވިޝާމާ ޢަބްދުއްރައްޒާޤް,Internal Medicine,އެތެރެހަށީގެ ބަލިތައް
ޑރ. Mohamed Zaidan Adil,ޑރ. މުޙައްމަދު ޒައިދާން ޢާދިލް,Neurosurgery,ނިއުރޯސާޖަރީ
ޑރ. Abdulla Ubaid,ޑރ. ޢަބްދުﷲ އުބައިދު,Surgery,ސާޖަރީ
ޑރ. Yusra Ali,ޑރ. ޔުސްރާ ޢަލީ,Radiology,ރޭޑިއޮލޮޖީ
ޑރ. Mohamed Kamel Sobhi,ޑރ. މުޙައްމަދު ކާމިލް ސުބްޙީ,Surgery,ސާޖަރީ
ޑރ. Shanaz Dole,ޑރ. ޝަނާޒް ޑޯލް,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
ޑރ. Mohamed Amru Ahmed,ޑރ. މުޙައްމަދު އަމްރު އަޙްމަދު,Anesthesiology,އެނެސްތީސިއޮލޮޖީ
