Name (English),Name (Dhivehi),Address (English),Address (Dhivehi)
Olive Medical Centre,އޮލިވް މެޑިކަލް ސެންޓަރު,"Alidhoadhi, GDh. Thinadhoo",ގދ. ތިނަދޫ، އަލިދޯދި
Veligandu Clinic,ވެލިގަނޑު ކްލިނިކް,Veligandu Island Resort,ވެލިގަނޑު އައިލެންޑް ރިސޯޓް
Thasalli Medical Care,ތަސައްލީ މެޑިކަލް ކެއަރ,"H. Fennaage, Buruzumagu, Male'",ހ. ފެންނާގެ، ބުރުޒުމަގު، މާލެ
F&C Medicare,އެފް އެންޑް ސީ މެޑިކެއަރ,"Bageechaage, S. Maradhoo Feydhoo",ސ. މަރަދޫފޭދޫ، ބަގީޗާގެ
Eye Care Clinic (Addu),އައި ކެއަރ ކްލިނިކް (އައްޑޫ),"Silver Leaf, S. Hithadhoo",ސ. ހިތަދޫ، ސިލްވަރ ލީފް
Atoll Guest Clinic,އެޓޯލް ގެސްޓް ކްލިނިކް,"Gadifaru, Maafushi Island",މާފުށި، ގަދިފަރު
My Care Medical Centre,މައި ކެއަރ މެޑިކަލް ސެންޓަރު,"Ma. Kinaaraa House, Male'",މާ. ކިނާރާ ހައުސް، މާލެ
Kani Medical Clinic,ކަނީ މެޑިކަލް ކްލިނިކް,"Club Med Kanifinolhu, K. Atoll",ކ. ކަނިފިނޮޅު
Maldives Mobile Nursing Care,މޯލްޑިވްސް މޯބައިލް ނާސިންގ ކެއަރ,"Ma. Jamburoaluge, Male'",މާ. ޖަންބުރޯލުގެ، މާލެ
Listen Clinic,ލިސަން ކްލިނިކް,"G. Koaheen, Male'",ގ. ކޯހީން، މާލެ
Hope Dental Care,ހޯޕް ޑެންޓަލް ކެއަރ,"1st floor H. Hikigulha, Male'",1 ވަނަ ފަންގިފިލާ، ހ. ހިކިގުޅަ، މާލެ
Dhigali Clinic,ދިގަލި ކްލިނިކް,"Dhigali Maldives, R. Atoll",ރ. ދިގަލި މޯލްޑިވްސް
Coco Chic Clinic,ކޯކޯ ޝިކް ކްލިނިކް,"04th floor, H. Gaamathige, Male'",4 ވަނަ ފަންގިފިލާ، ހ. ގާމަތީގެ، މާލެ
Nada Clinic,ނާދާ ކްލިނިކް,"H. Gaamathige, Male'",ހ. ގާމަތީގެ، މާލެ
Fushi Clinic,ފުށި ކްލިނިކް,"Lh. Fushifaru, Maldives",ޅ. ފުށިފަރު، ދިވެހިރާއްޖެ
TreeTop Hospital,ޓްރީޓޮޕް ހޮސްޕިޓަލް,"Lot 10608, Dhiggaa Magu, Hulhumale'",ލޮޓް 10608، ދިއްގާ މަގު، ހުޅުމާލެ
Sukoon Clinic,ސުކޫން ކްލިނިކް,Hulhumale',ހުޅުމާލެ
Ilaa Ali Adam Clinic,އިލާ ޢަލީ އާދަމް ކްލިނިކް,"Zureethu In, Male'",ޒުރީތު އިން، މާލެ
The Residence Maldives Clinic,ދަ ރެސިޑެންސް މޯލްޑިވްސް ކްލިނިކް,"Falhumaafushi, Ga. Atoll",ގއ. ފަޅުމާފުށި
Medplus Dental,މެޑްޕްލަސް ޑެންޓަލް,"Handhuvaree Magu, Male'",ހަނދުވަރީ މަގު، މާލެ
ޑރ. Usama's Clinic Maafannu,ޑރ. އުސާމާގެ ކްލިނިކް މާފަންނު,"M. Green Linnet, Male'",މ. ގްރީން ލިނެޓް، މާލެ
Jibon Clinic,ޖީބޯން ކްލިނިކް,"Ma. Heera Kuri, Male'",މާ. ހީރާ ކުރި، މާލެ
AMG Clinic,އޭއެމްޖީ ކްލިނިކް,"Vinavi, R. Meedhoo",ރ. މީދޫ، ވިނަވި
Sun Siyam Olhuveli Clinic,ސަން ސިޔާމް އޮޅުވެލި ކްލިނިކް,K. Olhuveli,ކ. އޮޅުވެލި
Clinica,ކްލިނިކާ,"G. Malvina, Male'",ގ. މަލްވީނާ، މާލެ
AMDC Physiotherapy,އޭއެމްޑީސީ ފިޒިއޮތެރަޕީ,"M. Misururuge, Male'",މ. މިސުރުރުގެ، މާލެ
Crystal Medicals,ކްރިސްޓަލް މެޑިކަލްސް,"M. Zefelin, Male'",މ. ޒެފެލިން، މާލެ
Indira Gandhi Memorial Hospital,އައިޖީއެމްއެޗް,"Boduthakurufaanu Magu, Male'",ބޮޑުތަކުރުފާނު މަގު، މާލެ
Ayurvedic Therapy,އާޔުރްވެދިކް ތެރަޕީ,Hulhumale',ހުޅުމާލެ
Medlab Diagnostics,މެޑްލެބް ޑައިގްނޯސްޓިކްސް,"M. She Building, Male'",މ. ޝީ ބިލްޑިންގ، މާލެ
Sun Island Medical Centre,ސަން އައިލެންޑް މެޑިކަލް ސެންޓަރު,"Sun Island, ADh. Atoll",އދ. ސަން އައިލެންޑް
CyMa Care,ސައިމާ ކެއަރ,"M. Naainfaruge, Male'",މ. ނާއިިންފަރުގެ، މާލެ
Institute for Counselling,އިންސްޓިޓިއުޓް ފޯ ކައުންސެލިންގ,"H. Haifa, Male'",ހ. ހައިފާ، މާލެ
Hiyaa Medical Centre,ހިޔާ މެޑިކަލް ސެންޓަރު,"Hiyaa Tower, Hulhumale'",ހިޔާ ޓަވަރު، ހުޅުމާލެ
My Dental Care,މައި ޑެންޓަލް ކެއަރ,"Maamigili, ADh. Atoll",އދ. މާމިގިލި
MVDX Diagnostics,އެމްވީޑީއެކްސް ޑައިގްނޯސްޓިކްސް,"M. Rihaab, Male'",މ. ރިހާބް، މާލެ
Institute for Mental Wellbeing,އިންސްޓިޓިއުޓް ފޯ މެންޓަލް ވެލްބީންގ,"H. Hulhugali, Male'",ހ. ހުުޅުގަލި، މާލެ
Avani Clinic,އަވާނީ ކްލިނިކް,"Avani + Fares, Baa Atoll",ބ. ފަރެސް، އަވާނީ
Maldicare Clinic,މޯލްޑިކެއަރ ކްލިނިކް,"G. Maavehi, Male'",ގ. މާވެހި، މާލެ
Mediflex Dental,މެޑިފްލެކްސް ޑެންޓަލް,"M. Maayaa, Male'",މ. މާޔާ، މާލެ
VCare Counselling Centre,ވީކެއަރ ކައުންސެލިންގ ސެންޓަރު,"Villa College, Male'",ވިލާ ކޮލެޖް، މާލެ
Bulbul Multi Rehab Clinic,ބުލްބުލް މަލްޓި ރިހެބް ކްލިނިކް,"Sunny Lodge, Hulhumale'",ސަނީ ލޮޖް، ހުޅުމާލެ
Unique Dental,ޔުނީކް ޑެންޓަލް,"C1-03, Hulhumale'",ސީ1-03، ހުޅުމާލެ
Physio Solutions,ފިޒިއޯ ސޮލިއުޝަންސް,"G. Hiyaakuri, Male'",ގ. ހިޔާކުރި، މާލެ
Ali Rasheed Dhivehi Beys Clinic,ޢަލީ ރަޝީދު ދިވެހި ބޭސް ކްލިނިކް,"H. Veliraalhu, Male'",ހ. ވެލިރާޅު، މާލެ
One Medical Care,ވަން މެޑިކަލް ކެއަރ,"M. Fashion, Male'",މ. ފެޝަން، މާލެ
ޑރ. Usama Dental Clinic,ޑރ. އުސާމާ ޑެންޓަލް ކްލިނިކް,"H. Relic, Male'",ހ. ރެލިކް، މާލެ
Rannalhi Clinic,ރަންނާލި ކްލިނިކް,"Adaaran Club Rannalhi, K. Atoll",ކ. ރަންނާލި
Finolhu Clinic,ފިނޮޅު ކްލިނިކް,"Club Med Finolhu, Baa Atoll",ބ. ފިނޮޅު
Havodda Clinic,ހަވޮއްޑާ ކްލިނިކް,"Amari Havodda, GDh. Atoll",ގދ. ހަވޮއްޑާ
Anantara Dhigu Clinic,އަނަންތަރާ ދިގު ކްލިނިކް,"Anantara Dhigu Resort, K. Atoll",ކ. އަނަންތަރާ ދިގު
Aarah Clinic,އާރަށު ކްލިނިކް,"Heritance Aarah, Raa Atoll",ރ. އާރަށް
Hadahaa Clinic,ހަދަހާ ކްލިނިކް,"Park Hyatt Hadahaa, GA. Atoll",ގއ. ހަދަހާ
Kandima Medical Centre,ކަންޑީމާ މެޑިކަލް ސެންޓަރު,"Kandima Maldives, Dhaalu Atoll",ދ. ކަންޑީމާ
Four Seasons Kuda Huraa Clinic,ފޯ ސީޒަންސް ކުޑަ ހުރާ ކްލިނިކް,"Four Seasons Resort, K. Atoll",ކ. ކުޑަ ހުރާ
Alai Clinic,އަލައި ކްލިނިކް,"G. Dimelight, Male'",ގ. ޑައިމްލައިޓް، މާލެ
Finolhu Clinic Plus,ފިނޮޅު ކްލިނިކް ޕްލަސް,"Seaside Finolhu, Baa Atoll",ބ. ފިނޮޅު
Gilli Gets Well,ގިލި ގެޓްސް ވެލް,"Gili Lankanfushi, K. Atoll",ކ. ގިލި ލަންކަންފުށި
Vabbinfaru Clinic,ވައްބިންފަރު ކްލިނިކް,"Banyan Tree Vabbinfaru, K. Atoll",ކ. ވައްބިންފަރު
I wear (Optical),އައި ވެއަރ,"M. Blue Chip, Male'",މ. ބްލޫ ޗިޕް، މާލެ
Veligandu Clinic,ވެލިގަނޑު ކްލިނިކް,Veligandu Island Resort,ވެލިގަނޑު އައިލެންޑް ރިސޯޓް
F&C Medicare,އެފް އެންޑް ސީ މެޑިކެއަރ,S. Maradhoo Feydhoo,ސ. މަރަދޫފޭދޫ
