Name (English),Name (Dhivehi),Address (English),Address (Dhivehi)
Nafsu Psychological Services,,7355554/,
Naifaru Medical Center,,White Building Lh. Naifaru,
NazaHealth,,Rose Garden Lh. Naifaru,
Niyama Resort Clinic,,Niyama Maldives Dh. Olhuveli and Emboodhoo,
Noo Clinic,,Robinson Noonu N.Orivaru N.Atoll Republic of Maldives,
Noosandha,,M. Iskandharu Koshi K.Male' Republic of Maldives 3300078 /,
Noosandha - Addu,,National College of Policing and Law Enforcement Addu City,
Nova Clinic,,Nova Resorts Adh Vakarufalhi,
Nowall Medical Centre,,Hulhumale Lot 1193,
Oagaa Medical Centre,,Oagaa Medical Centre M. Asdha,
Olhahali Clinic,,Jumeirah Maldives Olhahali Island 7469981 /,
Omega Medical Centre,,H.Blue Asseyri Male',
Ouch,,Fesdu Island North Ari Atoll Republic of Maldives,
Pain Clinic,,4th floor G. Hiyaakuri Alikileygefaanu magu Republic of Maldives,
Pearl Medical Centre,,M. Chanbeyleege Shaariuvarudhee Male' Maldives 3305550 /,
Pearl Medical Centre Hulhumale,,Lot No. 10059 New Hill Hulhumale' K. Male' Maldives 3355001 /,
Physio & Autism Clinic - Hulhumale',,Plot No. 10531 Ranaura Magu Hulhumale',
Physio and Autism Clinic,,M. Saumaamuge K.Male' Republic of Maldives,
Physio Clinic,,M. Finifaru (3rd Floor) K. Male' Republic of Maldives,
Physio Clinic Annex 1,,FW Residence Hulhumale' phase 1 7943112 /,
Physio Cure,,18th September2024 5th Floor H. Faiykuri Hithigas Magu Male' 9958587 /,
Pine tree Medic Care,,H. Almass Villa 2nd floor,
Pine tree Medic Care/ Sh. Funadhoo,,Sea Star Sh. Funadhoo,
Popular Clinic,,G. Gavali Bodurasgefaanu Magu K. Male',
Pro Care Clinic and Dental Centre,,Champaamaage ADH. Mahibadhoo,
Pullman Maldives Maamutaa Resort Clinic,,Pullman Maldives Maamutaa Resort Ga. Maamutaa republic maldives,
Queen Aesthetic Medical Center,,R 13-05 Hithigas Magu Goalhi-07,
Raaya Clinic,,Raa Kudakurathu Island,
Raffles Clinic,,Raffled Maldives Meradhoo Resort Ga Atoll,
Rangali Clinic,,Conrad Maldives Rangali Island ADh. Rangali Republic of Maldives,
Rannalhi Clinic HF22/ALP/PVT/659,,Adaaran Club Rannalhi,
Rasfushi Clinic,,,
Reethi Beach Clilnic HF -23/ALP/PVT/711,,B. Fonimagoodhoo B. Atoll Maldives,
Reethi Faru Clinic,,Reethi Faru Resort R. Fillaidhoo Maldives,
Resort Clinic,,Four Seasons Resort Maldives at Landa Giraavaru Baa Atoll,
Resort Medical and Laboratory Services,,M. Chanbeyleege Shaariuvarudhee Male' Maldives 3305550 /,
Revive Medical Centre,,Dheedhaaru HA. Hoarafushi,
RMLS Lab Services,,New Hill Hulhumale' Lot No.10059 K. Hulhumale' Maldives 3355001 /,
Ruhgalu Clinic,,Vakkaru Maldives B. Vakkaru Maldives,
Rx Medicare,,Kalaj- Hulhumale (Lot no: 10057),
Sandies Bathala Infirmary,,AA. Atoll Sandies Bathala Resort Republic of Maldives,
Sha Therapy Dhivehibeys Centre,,Hulhumale' Lot 11095 9632737 /,
Shifaa Medical,,5th Floor G. Hiyaakuri Alikilegefaanu Magu 20119 Male',
Six Sensus Laamu Clinic,,Six Senses Laamu Olhuveli Laamu Atoll Republic of Maldives,
Siyam World Maldives Clinic,,Siyam World Maldives N. Dhigurah,
Smiles Dental Care,,Ma. Vavathi Ground Floor Male' Maldives 3341040 /,
Smiles Dental Care Hulhumale',,Lot 11000 Ground Floor Lansimoo Magu Hulhumale',
SO/ Maldives Clinic,,Emboodhoo Lagoon Kaafu Atoll Republic of Maldives 7469981 /,
Soneva Fushi Clinic,,Soneva Fushi Resort B. KUnfunadhoo,
Soneva Jani Clinic,,Soneva Jani Noonu Atoll Medhufaru,
Southern Care Clinic,,Araairu S. Hithadhoo Republic of Maldives,
Star Medical,,M. Golden Vlley Buruzu Magu,
Sun Siyam Irufushi Maldives Clinic,,Sun Siyam Iru Fushi Maldives Noonu Atoll Medhafushi,
Sun Siyam Iruveli Maldives Clinic HF -23/ALP/PVT/709,,Sunsiyam Iruveli Maldives Resort,
Sun Siyam Olhuveli Maldives Clinic,,K. Olhuveli,
Sun Siyam Vilu Reef Maldives CLinic,,Sun Siyam Vilu Reef Maldives Dh. Meedhuffushi,
Synergy Care,,H6-G01 in H6 Tower Hulhumale Phase 2,
Taj Exotica Clinic,,Taj Exotica Resort and Spa Maldives K. Emboodhoo Finolhu 4005606 /,
The Residence Maldives at Dhigurah Clinic,,The Residence Maldives Dhigurah Ga. Dhigurah Maldives 6850089 /,
The Standard Clinic,,The Standard Huruvalhi Maldives,
Therapy Centre,,M. Jeymuge Majeedhee Magu K. Male',
Thilamaafushi Clinic,,Lh. Thilamaafushi Island,
Thudufushi Medical Clinic,,Diamonds Thundufushi Beach and Water Villas,
Thulhagiri Clinic,,Thulhagiri Island Resorts & Spa K. Thulhagiri,
Tiny Drops Medical Services,,Ma. Dhunbuge K. Male' Republic of Maldives,
TotalPhysio,,H. Sakeena Manzil 3rd Floor Medhuziyaaraiyy Magu / ahd.areen@gmail.com,
True Care Medicals,,M.Spatula Iskandharu Magu Male' Maldives,
TTH Clinic,,M. Champa Villa Buruzu Magu Male' Maldives,
Vadoo Clinic HF -23/ALP/PVT/708,,Adaaran Prestige Vadoo K. Vadoo Maldives,
Varu Medical Centre,,Varu by Atmosphere K. Madivaru North Male',
VCare Counselling and Psychotherapy Centre,,Villa College QI Campus Rahdhebai Magu Male' Maldives,
Velaa Private Island Clinic,,Velaa Private Island Maldives N.Fushivelaavaru Republic of Maldives,
Velassaru Medical Center,,K. Velassaru,
Veligandu Clinic HF -23/ALP/PVT/704,,Veligandu Island resort and spa,
Verso MedicalCentre Alifushi,,Flooniyaage R. Alifushi,
Villa Bio Medicals Laboratory,,Sun Island Resort and Spa Adh. Nalaguraidhoo,
Vision Care Optical and Eye Clinic,,Handhuvareeaage Ameeneemagu Ga. Villingili,
Vision Clinic,,M. Shura Manzil Fareedhee Magu Male' 3009666,
Vision Clinic Hulhumale',,Hiri-4 Reethigas Hingun Hulhumale',
Vision Clinic-1,,H. Landhooge Ameer Ahmed Magu Male' 3003534,
Vital Care,,G. Kanduvaige K.Male',
Vital Care Kulhudhufushi Anex,,Roazeenaaz Dhanbu Goalhi HDh. Kulhudhuffushi Maldives,
Vital Care- Kulhudhuffushi,,Roazeenaaz HDh. Kulhudhuffushi Republic of Maldives,
VitalCare Dental,,Hulhumale' Endheri 4 Rowhouse,
Vitalcare Huvadhoo,,G. Kanduvaige Lonuziyaaraimagu,
Vivadent Dental Center,,G. Nashaathu Villa 1st Floor Nirolhu Magu,
Vommuli Clinic,,The St. Regis Vommuli Resort Maldives,
Wellcare Physiotherapy & Sports Rehabilitation,,R14/05 Ground Floor Hithigas Magu Goalhi 6 Hulhumale',
You & Me Clinic,,R. Uthurumaafaru,
